customer_id,age,tenure_months,monthly_spend,num_support_tickets,region,plan_type,payment_method,churned
C0001,62,15,51.28,3,East,Basic,credit_card,0
C0002,27,76,122.83,1,East,Enterprise,credit_card,1
C0003,67,84,127.73,9,South,Enterprise,credit_card,0
C0004,31,28,89.66,6,West,Premium,bank_transfer,0
C0005,68,59,57.3,6,West,Basic,paypal,0
C0006,45,74,80.32,0,East,Standard,bank_transfer,0
C0007,46,36,138.53,5,East,Enterprise,bank_transfer,0
C0008,65,83,47.84,2,East,Basic,credit_card,0
C0009,62,89,79.8,0,East,Standard,credit_card,0
C0010,58,92,92.53,7,Midwest,Premium,paypal,1
C0011,57,69,106.42,6,Midwest,Premium,bank_transfer,0
C0012,53,12,54.39,2,East,Basic,paypal,0
C0013,60,60,112.25,0,West,Premium,paypal,0
C0014,43,15,98.3,7,West,Premium,paypal,0
C0015,54,14,108.88,8,East,Premium,credit_card,1
C0016,55,1,99.7,1,South,Premium,bank_transfer,0
C0017,27,11,143.22,8,East,Enterprise,credit_card,1
C0018,55,78,147.07,8,East,Enterprise,paypal,0
C0019,45,57,125.15,3,West,Enterprise,bank_transfer,0
C0020,36,1,50.4,0,East,Basic,credit_card,0
C0021,37,36,127.57,2,Midwest,Enterprise,credit_card,0
C0022,28,85,131.21,6,Midwest,Enterprise,paypal,0
C0023,28,8,140.93,1,East,Enterprise,credit_card,1
C0024,33,36,128.49,1,Midwest,Enterprise,paypal,0
C0025,22,12,66.32,7,Midwest,Standard,credit_card,1
C0026,22,50,111.09,7,South,Premium,bank_transfer,1
C0027,34,38,87.19,9,West,Standard,paypal,0
C0028,54,68,63.48,8,West,Standard,credit_card,0
C0029,37,52,56.48,9,East,Basic,paypal,1
C0030,64,75,111.3,3,South,Premium,credit_card,0
C0031,41,59,111.15,1,West,Premium,bank_transfer,0
C0032,26,69,75.15,2,South,Standard,credit_card,0
C0033,56,91,102.9,10,West,Premium,paypal,1
C0034,30,34,55.13,8,East,Basic,bank_transfer,0
C0035,35,88,100.14,4,West,Premium,credit_card,0
C0036,43,17,91.2,7,Midwest,Premium,paypal,0
C0037,66,20,53.7,9,East,Basic,bank_transfer,0
C0038,24,46,79.73,10,West,Standard,bank_transfer,1
C0039,,96,86.07,3,East,Standard,credit_card,0
C0040,43,53,68.94,1,Midwest,Standard,credit_card,0
C0041,51,45,108.33,3,East,Premium,credit_card,0
C0042,26,36,103.68,6,South,Premium,credit_card,1
C0043,59,34,34.82,6,South,Basic,paypal,0
C0044,29,50,68.62,6,West,Standard,paypal,1
C0045,64,26,98.21,10,South,Premium,paypal,0
C0046,41,65,104.34,5,Midwest,Premium,paypal,0
C0047,64,49,78.0,4,Midwest,Standard,paypal,0
C0048,59,78,99.09,7,East,Premium,paypal,1
C0049,32,85,39.38,10,South,Basic,credit_card,0
C0050,34,19,33.2,7,West,Basic,bank_transfer,0
C0051,67,90,134.85,3,East,Enterprise,paypal,0
C0052,28,55,66.57,8,Midwest,Standard,credit_card,1
C0053,51,18,139.36,8,South,Enterprise,bank_transfer,1
C0054,49,71,145.33,7,Midwest,Enterprise,bank_transfer,0
